algo,impl,N,workers,iter,seconds,pi
dart,fork,800000000,1,3,6.155711,3.141648020
dart,fork,800000000,1,4,4.808764,3.141648020
dart,fork,800000000,1,5,6.191737,3.141648020
dart,fork,800000000,2,1,3.135023,3.141723540
dart,fork,800000000,2,2,3.142816,3.141723540
dart,fork,800000000,2,3,3.157397,3.141723540
dart,fork,800000000,2,4,3.122803,3.141723540
dart,fork,800000000,2,5,3.113052,3.141723540
dart,fork,800000000,4,1,1.571433,3.141665650
dart,fork,800000000,4,2,1.589175,3.141665650
dart,fork,800000000,4,3,1.681218,3.141665650
dart,fork,800000000,4,4,1.582341,3.141665650
dart,fork,800000000,4,5,1.575785,3.141665650
dart,fork,800000000,8,1,0.810369,3.141608460
dart,fork,800000000,8,2,-0.634371,3.141608460
dart,fork,800000000,8,3,0.804153,3.141608460
dart,fork,800000000,8,4,0.799695,3.141608460
dart,fork,800000000,8,5,0.809617,3.141608460
dart,fork,800000000,16,1,0.452665,3.141604020
dart,fork,800000000,16,2,0.460724,3.141604020
dart,fork,800000000,16,3,0.464071,3.141604020
dart,fork,800000000,16,4,0.472462,3.141604020
dart,fork,800000000,16,5,0.484801,3.141604020
dart,fork,1600000000,1,1,12.391490,3.141599408
dart,fork,1600000000,1,2,12.330072,3.141599408
dart,fork,1600000000,1,3,10.939857,3.141599408
dart,fork,1600000000,1,4,12.374363,3.141599408
dart,fork,1600000000,1,5,10.905453,3.141599408
dart,fork,1600000000,2,1,6.239316,3.141649095
dart,fork,1600000000,2,2,6.238147,3.141649095
dart,fork,1600000000,2,3,6.236024,3.141649095
dart,fork,1600000000,2,4,6.284517,3.141649095
dart,fork,1600000000,2,5,4.860157,3.141649095
dart,fork,1600000000,4,1,3.141489,3.141681043
dart,fork,1600000000,4,2,3.145936,3.141681043
dart,fork,1600000000,4,3,3.152513,3.141681043
dart,fork,1600000000,4,4,3.164809,3.141681043
dart,fork,1600000000,4,5,3.170496,3.141681043
dart,fork,1600000000,8,1,1.596588,3.141626777
dart,fork,1600000000,8,2,1.591969,3.141626777
dart,fork,1600000000,8,3,1.597029,3.141626777
dart,fork,1600000000,8,4,1.585350,3.141626777
dart,fork,1600000000,8,5,1.590291,3.141626777
dart,fork,1600000000,16,1,0.855880,3.141618087
dart,fork,1600000000,16,2,0.944425,3.141618087
dart,fork,1600000000,16,3,0.896162,3.141618087
dart,fork,1600000000,16,4,1.050479,3.141618087
dart,fork,1600000000,16,5,0.876076,3.141618087
dart,omp,20000000,1,1,0.158879,3.141681000
dart,omp,20000000,1,2,0.156666,3.141681000
dart,omp,20000000,1,3,0.156743,3.141681000
dart,omp,20000000,1,4,0.156118,3.141681000
dart,omp,20000000,1,5,0.158152,3.141681000
dart,omp,20000000,2,1,0.083289,3.141923600
dart,omp,20000000,2,2,0.082317,3.141923600
dart,omp,20000000,2,3,0.082893,3.141923600
dart,omp,20000000,2,4,0.084283,3.141923600
dart,omp,20000000,2,5,0.082404,3.141923600
dart,omp,20000000,4,1,0.046873,3.142270600
dart,omp,20000000,4,2,0.047482,3.142270600
dart,omp,20000000,4,3,0.045251,3.142270600
dart,omp,20000000,4,4,0.048929,3.142270600
dart,omp,20000000,4,5,0.046173,3.142270600
dart,omp,20000000,8,1,0.029123,3.141369200
dart,omp,20000000,8,2,0.028309,3.141369200
dart,omp,20000000,8,3,0.027490,3.141369200
dart,omp,20000000,8,4,0.031111,3.141369200
dart,omp,20000000,8,5,0.029700,3.141369200
dart,omp,20000000,16,1,0.048872,3.142072200
dart,omp,20000000,16,2,0.047597,3.142072200
dart,omp,20000000,16,3,0.040247,3.142072200
dart,omp,20000000,16,4,0.039890,3.142072200
dart,omp,20000000,16,5,0.047044,3.142072200
dart,omp,40000000,1,1,0.304549,3.141946200
dart,omp,40000000,1,2,0.305500,3.141946200
dart,omp,40000000,1,3,0.304022,3.141946200
dart,omp,40000000,1,4,0.306348,3.141946200
dart,omp,40000000,1,5,0.305098,3.141946200
dart,omp,40000000,2,1,0.158870,3.142063900
dart,omp,40000000,2,2,0.157179,3.142063900
dart,omp,40000000,2,3,0.163074,3.142063900
dart,omp,40000000,2,4,0.157383,3.142063900
dart,omp,40000000,2,5,0.157078,3.142063900
dart,omp,40000000,4,1,0.084135,3.141963100
dart,omp,40000000,4,2,0.084322,3.141963100
dart,omp,40000000,4,3,0.089533,3.141963100
dart,omp,40000000,4,4,0.090883,3.141963100
dart,omp,40000000,4,5,0.091130,3.141963100
dart,omp,40000000,8,1,0.050127,3.141938700
dart,omp,40000000,8,2,0.051299,3.141938700
dart,omp,40000000,8,3,0.050689,3.141938700
dart,omp,40000000,8,4,0.049800,3.141938700
dart,omp,40000000,8,5,0.048443,3.141938700
dart,omp,40000000,16,1,0.052587,3.141795400
dart,omp,40000000,16,2,0.056149,3.141795400
dart,omp,40000000,16,3,0.058528,3.141795400
dart,omp,40000000,16,4,0.054200,3.141795400
dart,omp,40000000,16,5,0.056379,3.141795400
dart,omp,80000000,1,1,0.601608,3.141640600
dart,omp,80000000,1,2,0.605346,3.141640600
dart,omp,80000000,1,3,0.620191,3.141640600
dart,omp,80000000,1,4,0.603104,3.141640600
dart,omp,80000000,1,5,0.601484,3.141640600
dart,omp,80000000,2,1,0.323162,3.141871350
dart,omp,80000000,2,2,0.316226,3.141871350
dart,omp,80000000,2,3,0.315641,3.141871350
dart,omp,80000000,2,4,0.310247,3.141871350
dart,omp,80000000,2,5,0.312209,3.141871350
dart,omp,80000000,4,1,0.163156,3.141810850
dart,omp,80000000,4,2,0.159655,3.141810850
dart,omp,80000000,4,3,0.163315,3.141810850
dart,omp,80000000,4,4,0.167905,3.141810850
dart,omp,80000000,4,5,0.165647,3.141810850
dart,omp,80000000,8,1,0.090471,3.141604700
dart,omp,80000000,8,2,0.090406,3.141604700
dart,omp,80000000,8,3,0.089610,3.141604700
dart,omp,80000000,8,4,0.091083,3.141604700
dart,omp,80000000,8,5,0.088797,3.141604700
dart,omp,80000000,16,1,0.083324,3.141934350
dart,omp,80000000,16,2,0.067246,3.141934350
dart,omp,80000000,16,3,0.081264,3.141934350
dart,omp,80000000,16,4,0.083879,3.141934350
dart,omp,80000000,16,5,0.085517,3.141934350
dart,omp,200000000,1,1,1.488596,3.141792440
dart,omp,200000000,1,2,1.488895,3.141792440
dart,omp,200000000,1,3,1.490168,3.141792440
dart,omp,200000000,1,4,1.489459,3.141792440
dart,omp,200000000,1,5,1.497538,3.141792440
dart,omp,200000000,2,1,0.757728,3.141686840
dart,omp,200000000,2,2,0.758048,3.141686840
dart,omp,200000000,2,3,0.763960,3.141686840
dart,omp,200000000,2,4,0.793194,3.141686840
dart,omp,200000000,2,5,0.782573,3.141686840
dart,omp,200000000,4,1,0.402451,3.141707480
dart,omp,200000000,4,2,0.405017,3.141707480
dart,omp,200000000,4,3,0.390367,3.141707480
