impl,size,workers,iter,seconds
openmp_blocked,800,2,9,0.05
openmp_bt,800,2,10,0.05
openmp_blocked,800,2,10,0.06
openmp_bt,800,4,1,0.06
openmp_blocked,800,4,1,0.04
openmp_bt,800,4,2,0.05
openmp_blocked,800,4,2,0.04
openmp_bt,800,4,3,0.05
openmp_blocked,800,4,3,0.04
openmp_bt,800,4,4,0.04
openmp_blocked,800,4,4,0.05
openmp_bt,800,4,5,0.05
openmp_blocked,800,4,5,0.05
openmp_bt,800,4,6,0.05
openmp_blocked,800,4,6,0.05
openmp_bt,800,4,7,0.05
openmp_blocked,800,4,7,0.05
openmp_bt,800,4,8,0.04
openmp_blocked,800,4,8,0.05
openmp_bt,800,4,9,0.04
openmp_blocked,800,4,9,0.05
openmp_bt,800,4,10,0.05
openmp_blocked,800,4,10,0.04
openmp_bt,800,8,1,0.04
openmp_blocked,800,8,1,0.05
openmp_bt,800,8,2,0.04
openmp_blocked,800,8,2,0.04
openmp_bt,800,8,3,0.05
openmp_blocked,800,8,3,0.05
openmp_bt,800,8,4,0.04
openmp_blocked,800,8,4,0.05
openmp_bt,800,8,5,0.04
openmp_blocked,800,8,5,0.05
openmp_bt,800,8,6,0.04
openmp_blocked,800,8,6,0.04
openmp_bt,800,8,7,0.04
openmp_blocked,800,8,7,0.05
openmp_bt,800,8,8,0.04
openmp_blocked,800,8,8,0.05
openmp_bt,800,8,9,0.05
openmp_blocked,800,8,9,0.04
openmp_bt,800,8,10,0.04
openmp_blocked,800,8,10,0.05
openmp_bt,800,16,1,0.04
openmp_blocked,800,16,1,0.05
openmp_bt,800,16,2,0.04
openmp_blocked,800,16,2,0.04
openmp_bt,800,16,3,0.04
openmp_blocked,800,16,3,0.05
openmp_bt,800,16,4,0.05
openmp_blocked,800,16,4,0.05
openmp_bt,800,16,5,0.04
openmp_blocked,800,16,5,0.05
openmp_bt,800,16,6,0.04
openmp_blocked,800,16,6,0.05
openmp_bt,800,16,7,0.04
openmp_blocked,800,16,7,0.05
openmp_bt,800,16,8,0.04
openmp_blocked,800,16,8,0.05
openmp_bt,800,16,9,0.04
openmp_blocked,800,16,9,0.05
openmp_bt,800,16,10,0.04
openmp_blocked,800,16,10,0.05
openmp_bt,800,32,1,0.04
openmp_blocked,800,32,1,0.05
openmp_bt,800,32,2,0.04
